price,market_cap,total_volume
63802.33,1255539337969.4697,23302057197.884678
63517.25,1249495302303.4912,19190483386.063873
63030.43,1240724751365.882,16180294651.046635
63797.68,1257159131219.0603,27242983698.21234
60749.47,1197773959985.8767,39533113322.04938
58297.57,1151677489315.1536,51109380171.692604
59135.17,1164721402399.166,28255509745.49032
62839.34,1239817041554.716,33591665812.212433
63820.45,1257549583083.3145,20510614461.479218
64010.01,1259667234461.2874,18115695040.201984
63172.48,1244417948315.7583,17917770174.27797
62363.06,1229336706399.346,19925137720.849453
61215.5,1203918522476.5405,20303831135.373127
63148.6,1240910691253.6274,25837724247.550426
60888.22,1199393711200.297,23987518755.480534
60776.97,1197102943502.2341,12120618802.065384
61507.05,1211277523448.5786,13045696108.912676
62878.78,1238994152713.125,27740460083.601814
61569.11,1212998352772.157,21581895152.31416
66220.52,1307048849176.4167,38101793065.15294
65260.88,1286278919684.0837,29114585833.349678
67053.12,1319238394090.13,25397793918.993534
66912.62,1319928522881.6436,13025487675.845129
66252.71,1304727108597.6987,9072734600.009218
71430.3,1406288649446.611,35923476641.4359
70189.84,1382275470797.567,41105056578.01701
69181.2,1362228629448.754,31059440495.91766
67906.47,1336347300306.381,39235702119.25446
68539.92,1350764328536.3708,28127411967.182774
69268.45,1363997851294.8164,15929396750.116022
68508.83,1349351520129.172,11243743771.147913
69367.24,1366931305389.0393,18983806932.464344
68316.64,1347542673428.3018,31278122196.184998
67577.27,1331734029835.3335,24320692137.62038
68372.49,1346147846430.124,25344376897.716885
67474.95,1331606411822.8157,19685305476.459476
67704.33,1333649555935.3525,10724053324.55672
67740.02,1335930570689.7126,16137350587.750422
68808.29,1355484820107.0864,29862293749.910686
70600.01,1390853496950.4385,31561053725.144592
71184.6,1400297735227.1965,32560403314.989147
70759.59,1394881646977.521,23612879689.560955
69325.36,1366366925856.506,18597495569.911568
69315.1,1366065699664.3162,10688301508.476225
69654.16,1372556186704.501,10461044041.080194
69493.18,1369378888543.5317,19335866773.67523
67329.15,1327665028180.2761,38513044382.60802
68224.52,1345244310606.6865,36027809551.45211
66700.32,1317161415434.6978,29654777884.381138
66011.08,1301949410096.3496,27966992832.749634
66190.49,1304370314917.9756,13472726244.723091
66615.54,1313849391756.9756,12650130203.722813
66460.39,1309329377372.7744,29409728999.276093
65109.31,1282295865979.065,41386972050.31837
64907.07,1278699763341.0723,21680698980.889107
64844.67,1279317116821.3782,26001551474.84426
64071.62,1263258746635.2896,24694310198.90943
64239.9,1266336092890.8738,6340606686.24879
63221.36,1248188877658.2324,10748270931.518738
60363.23,1188964670369.4045,42036553106.89028
61770.41,1217935012739.8113,21105562261.648533
60749.9,1198205485427.564,22908540918.971207
61562.65,1213931985719.8025,18855138893.067604
60317.1,1189569860170.9426,24399416695.150173
60864.44,1199792912680.844,11435110883.886795
62734.39,1236676710888.4822,17373592048.120487
62819.82,1238799172479.871,25573074910.689686
62042.57,1222901857941.0586,18100530101.689426
60244.68,1186937170314.9272,30348692427.02443
57189.17,1130121668991.0515,43112005394.93119
56739.86,1118490666778.4585,60081357583.2773
58230.48,1147176330416.144,21293913670.919975
55880.38,1100452083927.7026,20211914621.326435
56665.14,1117615464651.686,41614266908.30467
57988.3,1144794688186.9604,28413854577.262756
57704.2,1139350681822.5857,25987656347.278587
57388.19,1130276546536.143,29196653598.752666
57899.29,1141567375406.1943,25504482306.198975
59152.72,1168371787725.7102,16765547593.243273
60942.33,1204059167828.704,21295520563.65442
64835.49,1277806993830.5176,37810068492.862465
65162.24,1284899538175.1812,40914441633.09575
64136.31,1266016458007.3477,33459451713.593426
63959.57,1261456293182.2588,25976148878.632153
66689.55,1316147398343.7175,36994610752.230415
67206.06,1325658979467.9998,17353396168.041622
68088.14,1343346742483.077,27078771827.95196
67607.71,1333201881091.7786,43157593651.80313
65942.42,1300963591115.5374,36100536095.18872
65403.54,1290447066028.3152,28680123269.715443
65749.96,1297125144853.139,35836896135.542854
67920.3,1339927966898.6016,30821370069.206276
68055.41,1342889431798.832,30976752616.761925
68242.25,1346263382369.5552,17175244020.36542
66770.32,1317581413497.2551,42529043667.45024
66219.05,1306758338817.987,28892376510.689587
64679.78,1275401473742.0508,31403681581.194077
65357.53,1289157073527.528,38911302447.60912
61407.3,1211854070245.47,39004321616.3716
60738.74,1197962170718.7737,32885545023.712658
58006.21,1147854905921.6433,33664501541.451115
53956.26,1064889039013.8289,120245972389.37173
55959.84,1104019419316.6865,52620100833.47091
55099.95,1088566703585.4303,41605918903.41173
61859.03,1218342891278.6091,49201548320.290726
60912.59,1198300504959.2505,33804208928.47938
60887.71,1201818989571.278,13418919090.197285
58804.23,1159146815397.6223,21715994493.456894
59350.07,1171441797233.8909,39403296385.84335
60601.22,1195798013190.8457,31955576195.246292
58739.19,1159479277227.7532,28079911397.67297
57624.12,1137141836825.8655,33490251842.381626
58881.93,1162716063850.1133,30368238897.207172
59430.79,1173270497431.1711,12467437134.05582
58438.29,1156217205294.1643,17656027563.72502
59574.95,1176063402361.815,24031330179.258953
59060.13,1166088863323.0896,31470716090.619144
61144.69,1207099049402.5117,32960965010.60808
60387.54,1192308382713.8381,28170302505.847404
64049.69,1261916434075.0183,45038665759.42134
64157.16,1264961887998.9824,22029153446.354362
64265.82,1269291077270.1143,17875230147.044323
62922.59,1242487823611.2612,17894692681.091812
59526.56,1176762244308.0742,38131727427.91789
59015.3,1166032395735.947,42018989572.42786
59351.58,1171762256043.917,32563333956.986053
59156.25,1168247205700.9673,44038496614.947586
58960.24,1164278309271.2642,11399086336.303324
57357.72,1133133027660.6194,25465621877.97047
59108.73,1168410293915.9832,28012782290.96625
57504.54,1137361604370.578,26829983370.35861
