price,market_cap,total_volume
0.15,21266410031.796085,903530328.9880874
0.15,21291269496.271103,862788251.2034055
0.15,21147179691.367096,648095775.8323567
0.14,20690016920.043755,1085608282.7824013
0.13,19261936212.56608,1422725149.4415252
0.13,18810287917.279007,2241339745.395361
0.13,19065407100.597775,1414713759.7498312
0.15,21090329916.556767,1343946354.003907
0.16,23083739055.49594,2801320942.9880314
0.16,23139601583.587646,1564164212.1717498
0.16,22567589431.055653,1817376304.8210833
0.15,21704508315.93852,1188542444.6092875
0.14,20629270042.744514,1155433008.808717
0.15,21906326936.61663,1099544408.9699128
0.14,20783768144.22263,1055816392.8182677
0.14,20606096721.85304,536720267.4745859
0.14,20367341230.48732,597400477.8691059
0.15,21420833116.77885,1893014470.244958
0.15,20961494975.629295,1573536856.1645098
0.16,22551018858.278175,1460735574.7373092
0.15,21623466230.977062,1154124392.102251
0.16,22451162337.251823,951198300.9579799
0.15,22093368413.52986,664366046.3899801
0.15,21492823145.685097,665096141.8800977
0.17,23764211734.999756,1354274363.2073774
0.17,24614228946.407322,2561530643.8211794
0.17,23964079376.060066,1659358907.0757198
0.16,23027007943.511375,1890104533.667718
0.16,23620891858.49331,2470188158.5621576
0.17,24917166589.705868,1313262487.682737
0.17,24032751451.978565,1124047972.5209289
0.17,24431699790.129013,1162225141.925964
0.17,23871875361.784283,1195417951.598318
0.16,23657737542.038853,1276072362.3915806
0.16,23056540377.67561,1246129241.373527
0.16,23037169421.483704,831262884.6032069
0.16,23136505822.213192,458029420.6882084
0.16,22704955782.779415,509609863.4381308
0.16,22852807834.854687,752793559.6767981
0.16,23349263292.04352,668890586.1667435
0.16,23591672593.612938,733579744.7071618
0.16,23169441308.322495,787716169.4557996
0.15,21433230430.77536,1381300164.6140766
0.15,21102562374.00018,781683797.0190542
0.15,21237598759.36246,606247857.6045299
0.14,20942107077.716537,702056069.3465934
0.14,19979679634.47628,1300845977.156508
0.15,21118265430.492416,1292581334.3557217
0.14,20447275232.556957,800915999.5780656
0.13,19536468886.327965,873884427.9170055
0.14,19769867009.082462,501291288.2135374
0.14,19807054448.228584,393701399.78906095
0.13,18645427195.391617,962751054.850534
0.12,17638069300.862633,1444125728.6074371
0.12,17676576972.007183,652055993.3523949
0.12,18026720497.982475,748898928.1328917
0.12,17957641252.945423,639224895.6608943
0.12,17925253478.802036,347152934.39902455
0.12,17674367218.374626,442120969.27207637
0.12,17247466156.300518,985468535.3078718
0.13,18243824303.76076,811718660.529724
0.12,17760072844.000412,548062898.1619759
0.13,18383724239.13942,630945650.0242836
0.12,17796690555.488686,644207174.6911759
0.12,17626378208.02659,296118066.94219476
0.12,18016125163.591396,379822254.6624731
0.12,17870285403.950806,460412942.7042293
0.12,18093543437.22296,418357315.1436524
0.12,17165364710.927338,657450943.1231261
0.1,15213122619.381462,1144361378.777649
0.11,15345059544.365843,1731535975.6821628
0.11,16408820652.899708,858389592.8825883
0.1,15063827325.32973,649702979.4455148
0.11,15587432921.39674,1040715424.5443174
0.11,15605363908.606533,586788336.8887604
0.11,15653882472.896133,563764968.3101348
0.11,15455996429.42694,554089205.6735662
0.11,15602333694.594538,481155140.608932
0.11,16286335056.925955,511037035.05479777
0.12,16795164085.570942,563795257.8487327
0.13,18154704180.573395,864205890.8280599
0.13,18155790339.2307,1001637168.7976447
0.12,17718114213.467716,737161134.9570054
0.12,17350790526.491207,728745558.7418016
0.13,18216571577.553005,786013598.7996689
0.13,19532230328.843086,1208802266.138944
0.14,20345296002.14511,1336401337.6364136
0.14,20039579760.960323,1577710181.2340684
0.13,18947849442.774,992568649.8349823
0.13,18592905681.350544,825645018.7862632
0.13,18182583656.896854,1042779687.061306
0.13,19514228665.21827,872110973.3220793
0.13,19196394167.942482,1380975270.2767427
0.13,18884811367.6374,856046743.7168617
0.13,18689191201.4847,868804790.6857344
0.13,18236805797.533676,706235989.6234155
0.12,17743396420.306427,633251304.6157517
0.12,17327999680.54861,980601544.906658
0.11,16138782914.907244,867228797.7665923
0.11,15735849330.777325,914188974.7046704
0.1,15062196873.39208,894909528.29708
0.09,13752269733.979536,3554936021.438818
0.1,13994585099.825089,1255131118.3471808
0.1,13936513456.281797,1047040603.2666059
0.11,15570629384.475784,913352532.2814789
0.1,15071065216.265854,615035196.1528313
0.11,15292688339.615997,391165146.1057483
0.1,14628313028.002617,727257294.1310066
0.11,15683936511.275764,844162997.1355557
0.11,15490052394.927086,624845265.9471717
0.1,14917983430.189568,594695369.6288352
0.1,14586468895.61521,646523390.8705558
0.1,14597266803.756542,587697638.0651625
0.1,14951778483.039318,334488342.09981424
0.1,14571479333.831728,402771975.82091117
0.1,14739719716.88896,501293737.7926098
0.1,15003208996.269045,764304812.3705446
0.11,15440111510.64143,553101594.1045825
0.11,15343397390.701769,442093664.0158166
0.11,16475767150.7208,1007674462.4760911
0.11,16391141273.139664,782083842.1962345
0.11,15978378379.001915,645373125.2340186
0.11,15329123605.556952,604946342.458422
0.1,14413120860.483454,632679461.1735952
0.1,14510058958.58579,692363430.0400519
0.1,14625375253.601542,476454209.61974996
0.1,14878559890.890339,642358602.2146719
0.1,14766759789.534246,351544414.4319313
0.1,13923088580.045486,438687181.6604267
0.1,14447496907.219114,503843467.51474077
0.1,14114883003.686115,429042908.6659166
0.1,14290796453.226725,604205804.0162128
0.1,14348233959.188757,497704734.581883
0.09,13466500038.965027,862381535.3047619
0.1,13886824075.098804,461330599.0727451
0.1,14001965233.148415,421886601.7821665
0.1,15166857756.594145,802105396.3811219
0.1,14981206322.416271,531704987.5644549
0.1,14791824299.927502,588369371.0038296
0.1,15008873337.07303,485785356.40988135
0.11,15605057186.288902,779036290.3878657
0.11,15392503255.796618,459831449.06438357
0.1,15026207563.160406,451757527.75686216
0.1,14569234359.29782,572532231.5059034
0.1,14765475792.003166,497557516.67411953
0.1,15093679439.612532,601892209.9487275
0.11,15339835713.02121,715304616.8549877
0.11,15386106673.016905,657876273.5784175
0.11,16119101951.764608,559439682.2683911
0.11,15511905605.702595,535697266.3173823
0.11,15802862649.093723,682781465.8162605
0.11,16033328087.548908,790392652.6294596
0.11,15828058104.304785,782002414.9971523
0.12,17259884831.538918,1535242940.151961
0.12,18086523907.564518,1555101302.394238
0.13,18825075499.748528,1706567906.7285783
0.12,18237685842.994255,980842375.1104261
0.11,16668359315.555267,1119199764.7365375
0.11,15663199002.570282,1476122207.633925
0.1,15293474639.765978,949525283.9507754
0.11,15341812912.876862,972749810.1302891
0.11,15967882266.593582,764018435.1600564
0.11,16014067342.601536,451209519.61005574
0.11,16300599147.425789,510711345.8873673
0.11,15928664980.80216,987438812.0499407
0.11,15680331561.502308,698426563.3874706
0.11,15802883226.690445,725437336.6353363
0.11,15492666165.802343,676009910.8249433
0.11,16205592120.10208,608660396.4089402
0.11,16295803424.838173,471712432.5463746
0.11,16284359144.011297,501221749.1240856
0.12,17054185512.622272,1038482566.7730004
0.12,17136054607.44054,1448755420.1277294
0.13,18366468454.350346,2441500479.075099
0.13,18872749092.612045,1610404036.3026013
0.14,20117473887.347134,2352278280.0010424
0.14,21205835020.113136,1943678426.853672
0.14,20743960127.806,1450399760.2238953
0.14,21042404416.179592,2135857422.7542772
0.14,20427910912.025658,1786553786.9237838
0.14,20469081859.33588,1492331848.7752898
0.14,20800093125.406723,1490511268.4353406
0.13,19058280731.50005,1555982996.705227
0.14,20129644552.18132,1007254067.9991432
0.14,21151514398.147987,1185789527.4866672
0.16,23603211883.92649,3547034012.2714276
0.18,25822005647.19393,4328291559.706245
0.17,24707320750.155575,2609541210.2799463
0.16,23703025112.153557,2433162762.1835318
0.16,23336035423.926025,2384334083.6126504
0.16,23352486974.02465,1497134113.918328
0.15,22296473359.067554,2539631782.021095
0.16,23136432202.320007,2934227322.746805
0.17,24951189158.885117,4722717269.39245
0.2,28735301613.88231,13964396580.982435
0.19,28332556747.31005,5023759022.790759
0.2,29637362068.002758,4762859227.42924
0.22,31981027590.244354,5124130776.036058
0.28,40497543446.61056,17922592739.470116
0.35,51066599516.303665,23002869379.97055
0.39,56649929137.31771,45647590496.22071
0.4,58769507338.095215,33764060390.327175
0.36,52855654310.550644,17394397997.80318
0.38,55541231337.39227,14263596086.931938
0.36,53253558387.73447,9205954824.33035
0.37,53890781808.26239,9784068444.010353
0.37,54665315542.00563,8956521463.269907
0.39,57498282424.86561,15683020455.352236
0.38,55653383515.17941,9823247879.4612
0.39,56919881492.936646,9437714466.947334
0.41,60319726909.20217,15763705369.107473
0.43,63045394020.14091,24615656526.251476
0.43,63176287457.58791,14194998723.10986
0.39,57583371937.660904,10991675836.364794
0.39,56535824119.87761,10352541749.38322
0.4,59099452113.78289,7575329620.039413
0.4,59119897219.069695,6881415591.797313
0.43,62510376387.89632,7204905118.668185
0.42,62045544716.78655,6694741285.598611
0.44,64771023380.96672,8422395747.703863
0.42,62337140722.912895,14905269533.2319
0.41,60140826094.70261,8839146109.799376
0.43,63106207194.10425,9655017662.13735
0.43,63027229179.29723,18019186820.61109
0.44,64021771536.23062,7529153953.033535
0.45,66813977851.84679,8438594527.802239
0.47,68588817015.837105,10403917176.241884
0.41,60872744858.539894,14335180806.342701
0.39,57829765508.83525,13688198758.325867
0.41,60886421741.99155,7787776853.752998
0.41,59656770432.96594,6855176846.684583
0.41,59931887272.17139,4421977875.552173
0.4,58562956775.225395,3714436683.163177
0.41,60052338854.39929,3168913334.077235
0.4,59245588478.23221,4670645497.325498
0.39,57984199496.775955,3654751097.510298
0.36,52715240064.040115,6424342443.584895
0.32,46669847342.85825,10299588179.47391
0.32,46702363167.98426,11908085963.040106
0.32,47111814565.02001,6978901591.406554
0.31,46032119811.56861,4326157081.905719
0.32,47643896689.916985,4612068974.597669
0.34,49592447998.15382,3228261462.9296412
0.33,49291654806.78467,2604485058.90388
0.31,45948623941.807014,2625101365.575846
0.31,45826831934.35086,2293373604.8945475
0.32,47721013739.71598,1538666440.0007308
0.31,46402338136.0668,1870842483.4356143
0.31,46131966592.51409,2707904119.2033954
0.32,46574952049.62729,2514890508.073105
0.32,47730291433.99268,1620382475.4153996
0.34,49968934585.85704,3606534898.0570397
0.38,55949132979.78311,5419307373.054088
0.39,58179171592.107506,4943690690.039445
0.38,56436326713.22052,2911300930.2606125
0.39,57165460311.38431,3301153541.1172915
0.35,51494199204.642395,5262187979.134054
0.34,50630773319.10575,4459666163.753783
0.32,47456774808.816055,3686394495.8291883
0.33,49340543580.25352,3269124532.5110497
0.34,50436513949.11746,1480544587.7329526
0.34,49524696077.13902,1480721033.6651137
0.34,49922840840.83987,3781697203.425277
0.36,52610149481.84014,3174234902.468615
0.39,57131408143.3226,4356121532.863304
0.38,55743616778.120766,4283602033.717316
0.41,61244297671.26678,6526718816.983121
0.4,58536938748.50718,6516773074.938818
0.36,53114100438.14036,8685239181.345173
0.35,52298785127.16677,8045403576.875606
0.37,54779528127.728516,9146197049.337523
0.36,53654160594.06796,2857875569.671739
0.35,52062251611.452805,3050289092.7539253
0.35,51740284666.89068,2039182933.8261669
0.35,52360301301.213425,1469045352.756256
0.34,49680007303.28259,1173608165.9973679
0.33,49219227830.56187,4457663415.539809
0.32,47097370342.269455,1956202115.5722096
0.32,48012616608.513885,1934033691.4906538
0.33,48955740100.618385,1308041183.689841
0.33,48569151202.70262,1721046773.5653727
0.31,45592933619.63728,1498500264.8733947
0.26,39074055212.59578,5297256819.371471
0.28,42112437795.60443,10665819818.499647
0.26,39121648133.2827,4185863884.406833
0.26,37875608481.94618,1748873845.3140545
0.25,36634998711.53493,1849400952.683781
0.25,36425572489.014,1955547140.0705724
0.25,37467768586.07184,947251264.8896627
0.25,36877324693.481384,1210322937.821886
0.25,37702629308.77336,1302577373.9580026
0.25,37524755444.79603,1681519859.8011022
0.26,39019744666.11137,1931125154.46359
0.26,38837304059.83588,1479090094.109654
0.27,40240694263.196144,2264906099.4838147
0.27,40217862491.33837,1562393659.5496552
0.27,39283644109.89832,931181654.4444188
0.26,38181261511.72696,1334819066.6629684
0.25,37105544732.75667,1568385561.1678038
0.25,37664544800.29522,1002221875.0777956
0.25,37726962768.86737,1128230681.7987843
0.24,35481966450.88804,2027962912.4843552
0.25,36553261422.55376,926901594.978119
0.24,35993016889.55571,695340046.2485528
0.21,31057933809.529675,2386904163.7483587
0.21,31297049624.810658,3294992146.5006976
0.2,30005439354.273045,2010954339.9928348
0.21,30625263535.15811,1358019956.56816
0.2,29923842132.369896,2576697271.018344
0.21,30553755358.248043,1157646034.496794
0.24,35490734904.304985,3097274702.4251013
0.2,29478814181.84413,2740809895.9767084
0.2,29486719912.765648,2339671816.89161
0.2,30372562019.722427,1407399493.6843045
0.2,29909473228.63224,1745673856.792128
0.2,29344409114.79347,1799280522.9607399
0.19,28463472615.689545,920959171.3325987
0.17,24907553213.57859,1740953627.9304154
0.15,22967908412.457058,2314515671.2670493
0.16,24423796970.680458,2372987953.769865
0.17,25550714731.497646,1624350642.4645834
0.16,24473177707.891407,1450396811.6367147
0.17,25500418386.69835,1034276360.1389003
0.18,26145240613.72014,720298076.7908576
0.17,24983784095.335926,927114505.6414578
0.17,25780933531.33528,1018336232.4544977
0.17,24944528516.753197,1069389407.6757383
0.18,26442796451.105247,1320951169.9347699
0.17,25198496224.975834,1038017898.997562
0.17,24802337475.666485,762513837.5823433
0.17,24809123674.004166,436636928.7216825
0.17,25567291759.662663,571990345.4855789
0.18,27091109233.552685,1592931137.3506715
0.19,28357774760.5922,1696540510.903378
0.19,28936205832.28477,2258885477.8762884
0.19,28336140460.271873,1368405082.3626633
0.18,26786788253.431107,1384586893.3114476
0.17,25196649883.057045,1145772000.0759876
0.17,24723665521.268337,830307371.9494493
0.17,24715772966.690254,1345691695.4520378
0.17,25907094165.489334,1226397943.461258
0.16,24434984199.50534,1764099720.7163243
0.16,24103024324.683754,1222246072.0530603
0.17,25431701590.520325,1761401248.3904846
0.17,25118525002.33291,641157289.4817889
0.15,22189098484.344727,1301616555.750496
0.15,22253535629.205784,3584892367.483011
0.14,21106734800.421078,1942313541.7331955
0.16,23903967352.649323,2380965896.56504
0.15,22901498580.377064,1258486079.0766785
0.16,23803360358.75832,884950609.7365417
0.17,24955320227.91173,878035311.5158367
0.16,24195571585.229347,883332811.3620282
0.16,23606479057.263405,981131649.7028836
0.15,22838512654.26413,766817730.5676734
0.15,23025656395.115612,811820241.5800865
0.16,23201318598.79681,576830755.033105
0.16,23466473789.583706,463491541.12553006
0.16,23421890793.07413,465683707.3180399
0.15,22810384199.14466,559070106.9208424
