price,market_cap,total_volume
3157.62,385360500023.0152,14827151368.90256
3131.42,381832436730.7926,11150981612.611172
3259.25,397162781507.14,12739849720.355131
3259.5,398637824441.876,10786187404.455635
3213.69,392350038771.61163,15480798749.513744
3018.55,368786372970.94403,19251155949.751816
2976.09,364276973974.7534,22064350438.409042
2988.55,358796765165.93835,14175880226.413488
3102.15,373187731785.70636,13929437694.673725
3115.02,374188248701.176,8430889402.258022
3136.58,376477227799.9195,8027546635.921553
3064.59,368312963227.33984,13196102657.36935
3015.16,362686607634.315,11727252097.462042
2975.73,357038251698.12964,10555086522.407984
3038.34,364426702625.02203,10961137747.243969
2910.68,349622946794.7746,12185177562.18238
2908.98,349391330491.6799,6479337783.261837
2931.31,352120009302.884,5237992152.442184
2948.3,354155572145.7024,13930280821.074911
2881.8,346305956691.41315,11258734172.441973
3035.76,365225903815.16327,13809709402.13564
2943.59,353501038738.847,11039599517.596857
3096.0,371220670629.6318,13846325669.567377
3120.55,375206332441.6955,8357435200.282594
3071.32,368598090418.054,6983633593.912785
3656.39,439830728213.1206,27159496889.816044
3792.49,455765526085.79254,37370060267.60153
3741.9,449694006822.5555,24114510372.012993
3766.4,451934122188.91656,46761576029.509094
3727.07,447600344544.24176,20715688665.955757
3750.08,450038598582.0329,8464533427.424917
3825.28,459504483187.0394,10540798421.159782
3893.39,467614044547.03687,15290249260.872213
3840.69,462070810453.6889,18146426007.646515
3765.3,452762636814.4171,15290595277.792278
3748.64,450215609802.7726,13659082592.12581
3761.07,452758719430.44403,12068376838.694778
3813.45,457995091024.9556,7216291113.118156
3780.71,454304865087.93256,9915137834.269558
3766.64,452084974218.36816,12609351903.623407
3814.93,458132490211.60803,11652766019.496792
3871.08,464211497547.6711,12871943841.967451
3812.7,458058824868.5632,11650774701.467743
3679.38,442056588562.9977,16199024684.298843
3683.03,442391279529.5943,7575768941.686513
3705.9,445276601430.4424,6301031436.913941
3666.83,440506095151.8904,8786880926.53714
3498.56,420251663393.7583,19621933421.92237
3559.45,427834174694.1308,16798065224.846418
3465.32,417151499335.3688,14257587847.282923
3478.77,418279823088.9498,14164619768.518377
3565.12,428318893969.5867,12060524631.965353
3618.51,434773902047.7907,8663362158.145231
3510.36,421162133590.23956,17226962124.000225
3480.47,424951660073.25385,21649791273.213665
3555.97,434492651441.09186,15091044746.84232
3511.28,429570574514.96106,15933137676.283852
3516.88,430070452526.121,16100418805.143234
3494.8,427271533995.02954,6342881010.269747
3417.8,418002114768.76056,8947881396.036127
3357.1,402843439308.6059,23589084207.47341
3395.3,407935619100.4282,11981602845.529747
3365.94,404420889593.2137,10009281218.932026
3442.91,413911406152.8098,11076955211.879559
3374.61,405590219265.00946,10962843305.829046
3371.28,405186539487.579,5551997884.52149
3435.32,412683392973.9106,7498532249.327012
3438.01,413087026853.55963,11834316021.632442
3417.9,410850514007.59125,8478511086.945243
3295.81,395971730267.60034,15473856746.245096
3069.04,369571668593.03217,19209988737.688694
2984.4,358878418412.549,31755421068.593773
3066.25,368279414918.9943,9871087552.273798
2928.6,350977454882.58325,10243406181.924892
3016.08,362836336467.41907,20819810746.374283
3064.09,368733224976.19775,14902982165.592142
3099.71,372867773189.40076,14523237728.597153
3102.09,372384838887.21234,14058546522.739754
3132.98,376300269815.6458,12435435678.409641
3173.5,381711250543.1549,7830621980.637015
3252.65,391583812600.5758,9867236520.521011
3488.54,419316550609.62476,18368344859.430637
3446.77,414703698412.0949,21040427365.588116
3389.44,407908628077.67224,16978839263.794697
3428.55,412233122047.3164,14884776298.264118
3505.22,421392010127.0308,17784761899.551624
3522.8,423550664963.50604,9427844289.70798
3533.12,424780865928.9678,13378492000.408422
3443.07,413961610216.08093,18304154013.687572
3482.98,418879212976.89734,25079221799.230476
3336.38,401152738546.72644,15765758234.562634
3173.76,381782355331.5728,25890826733.28285
3278.19,394189879099.2592,15169277359.834238
3254.61,391424161950.5181,14496971021.239912
3272.85,393579006059.7797,7818233563.235541
3316.94,399239444647.5382,18452148650.905613
3276.98,393942961780.88654,13805865977.524105
3233.08,388633791826.8701,16143420325.47769
3204.25,385340171208.75555,17786413332.129932
2983.3,358543505038.73834,18785849199.903355
2906.72,349395441871.30615,17701956694.58319
2682.44,323403607818.7498,22171247833.139385
2415.63,291245061884.5607,73571034926.63428
2455.51,295168597349.07764,27613148149.796356
2341.59,282098261495.40393,24968091142.09198
2685.01,322827381254.3183,24290512619.839314
2602.18,312353537574.9063,18077335701.97768
2608.04,313697482213.2365,8849019546.648287
2558.79,307740266021.366,12624674028.077477
2726.78,328070186437.41003,22670968464.846756
2703.55,325002180894.27686,16366799383.61909
2662.78,320231285058.06165,15887432311.728333
2569.86,309002097789.9878,15498476343.410463
2592.25,311786461030.44476,12841847017.271076
2613.14,314212508914.4149,5483825246.098839
2614.6,314682052511.7037,8617702421.12827
2640.59,317616756579.9527,11730843561.162947
2575.64,309867213669.31934,12823659998.035198
2630.3,316360729845.1586,11246256658.90509
2623.29,315630604929.4857,10277172867.663338
2763.26,332181161792.2442,17876365362.452858
2767.84,332950073030.8183,11990449014.147696
2745.16,330332547375.3104,8312216650.941433
2683.08,322816645099.5817,11486270160.014797
2457.28,295636169778.93835,17505948780.2572
2527.03,303958449107.31573,21234602056.030586
2526.74,304106394048.1237,13272715023.256615
2527.69,304009556580.61725,15607580785.925383
2513.36,302383496015.1365,6105765553.728281
2430.02,292436067877.0585,11229587557.968822
2534.9,304838837601.64795,12130504179.053215
2437.15,293818299349.5953,9565142020.243557
2448.31,294329412026.3932,16639700582.521397
2367.77,284989115168.67084,11060190870.627691
2223.78,267574522057.00296,26087934661.284035
2272.7,273350308345.93225,10405191111.340616
2296.4,276344419515.7602,9844980386.825493
2359.57,284026097136.9972,15874675673.552357
2389.47,287422889605.8082,12508388687.122387
2342.96,282041230807.9828,14692963988.99108
2362.3,284255194234.77527,11610780893.077023
2445.09,294131761890.3451,13122792869.978857
2418.08,290912717943.81995,7248493705.268602
2322.64,279257769574.61383,9361948332.945747
2295.13,276339513490.21936,16629103878.54157
2341.09,281704536557.3961,14449511265.93516
2361.96,283874122378.3681,17524561761.811428
2465.23,296680606397.51587,17820089225.37694
2557.62,307586864690.1545,18498405459.395584
2614.6,315153052833.9301,9276102854.536339
2582.85,310840922229.8413,12759588941.97967
2647.99,318666137823.1156,19740370943.835594
2653.84,319524635350.52515,16584773336.25631
2578.57,309875035203.6359,14003678832.756735
2630.95,316828988137.27673,16686162392.966532
2698.19,324681649929.6723,16468123574.12263
2680.22,322761939149.4107,9607072594.439383
2659.61,320146112155.9396,9570811494.068226
2597.34,312577514239.3695,17539259209.42195
2451.63,295243912099.71765,26538568534.282005
2365.23,284621591999.18945,20613586399.40693
2348.0,282601960212.3656,18771995105.191242
2416.92,290928251441.44226,15230883994.399237
2415.4,290706276902.6144,7362867897.959902
2438.03,293516242471.9333,7641011283.520121
2422.75,291612805733.03143,16943828822.371426
2441.47,294190554781.40424,13601054198.545612
2367.62,285084590935.4484,14384326799.317202
2381.78,286552629874.8065,14686776834.298496
2435.71,293162664953.97815,13097241431.234644
