price,market_cap,total_volume
6.76,9164511122.17956,188420103.17253998
6.81,9237652146.446466,171132260.99294946
6.71,9119527199.68675,128595929.92728718
6.59,8956986605.628855,176014005.02940115
6.42,8741513618.393106,285915308.9696534
6.86,9328509055.783041,432852920.75162166
7.29,9918738636.68497,295598410.0320007
7.26,9880846206.367008,277686107.704918
7.12,9695352138.963488,174845151.06182632
7.31,9939287310.69564,195572509.22125655
7.12,9695163458.843576,239508989.46077344
7.0,9548518685.580437,184942091.1967788
7.0,9537664850.2391,202279491.67457762
7.05,9609081711.362635,176830960.4252404
6.75,9203448591.768822,190773567.52883026
6.65,9075120598.904268,125019775.19762078
6.62,9026710910.629725,96944463.76526222
6.66,9091089640.306278,181079692.93808696
6.48,8835201115.001175,145726841.28384688
6.96,9517919557.600058,212291204.7909636
7.03,9598252726.545607,169518548.04881248
7.2,9813608789.046213,217637788.33942714
7.15,9769652372.705845,119353870.9199134
6.93,9465058439.075258,118396079.773012
7.57,10337137840.070969,238559975.8970934
7.61,10400264207.59872,265104446.91849986
7.45,10187995569.788525,221430100.23033056
7.2,9859673458.630548,344888840.7219613
7.25,9909104172.098974,204152522.23175785
7.43,10156136496.699438,126044086.61591475
7.55,10337951987.609108,160995640.42743072
7.63,10443687430.095444,203036963.1298531
7.37,10100025073.516312,255301937.54550353
7.17,9820140268.326967,226255231.81650978
7.0,9590441426.775806,200014500.1878295
6.99,9587990167.547712,168625075.1233728
7.06,9672741112.886448,113428552.78675726
6.98,9585084386.382597,125782115.94108562
7.01,9618881447.267624,182178700.06800836
7.19,9858944297.529688,159104904.08584955
7.25,9942445759.888329,161654306.24434438
7.14,9805803095.55814,144218391.85468757
6.66,9145535990.906008,330147095.0458716
6.39,8768645434.290054,185395421.71411774
6.52,8957714296.958893,187101518.6951278
6.51,8948640353.065762,210497017.43227714
6.38,8768750740.120857,308091192.48237497
6.74,9274214695.367868,302667940.03965276
6.36,8775045706.676785,187905689.9636771
6.16,8479083118.686233,230217150.06656525
6.22,8562360261.396466,112033487.00906755
6.38,8774228778.860834,137491809.6176832
6.07,8353497152.755225,197374947.15825915
5.77,7928616311.783862,385542656.79557395
5.79,7975533685.569288,183930584.26281202
5.64,7780734603.688207,172125077.42697948
5.61,7737216418.731893,168700608.34012616
5.75,7919030372.849159,131429640.84932064
5.64,7774431394.927399,108328520.17623624
5.73,7902772104.297471,254378426.2650507
5.84,8069505706.52529,180602227.62248302
5.79,7996328748.287675,144867710.9965384
6.28,8669416422.453375,276330878.04983085
6.17,8517020615.873326,191426392.76072675
6.07,8391035690.632965,98600512.30113053
6.21,8573571785.054799,116594246.74204937
6.34,8747854593.386179,187882162.2320204
6.51,9007200834.172104,266980592.71545723
6.06,8367634731.102679,276495997.14972067
5.56,7712547494.778603,314913920.1077941
5.67,7852889445.453063,652205922.4423797
6.24,8629186519.973618,374347265.8812537
5.9,8153934332.400078,209140475.6928841
5.94,8225187935.387285,268860058.7023828
6.11,8475500171.870856,209180453.7896116
6.1,8459459826.406463,190684315.72433493
5.91,8185513964.720814,165689949.40306658
6.1,8455849607.142028,171080564.0175537
6.24,8656766474.394491,138464451.8892007
6.33,8789935238.374603,166100888.18944684
6.5,9011298678.383944,266688792.31284893
6.35,8806168381.146105,260212755.59700996
6.26,8702829002.713629,208789941.2065339
6.09,8463432984.752482,213819463.8968058
6.34,8815525673.239305,199132892.12292823
6.34,8810815208.281696,135891025.35322756
6.42,8917212300.573147,166012476.82913798
6.11,8502888669.172124,388422967.32416415
5.92,8243544851.98374,190463147.61311218
5.75,7999258713.389161,160866067.42945054
5.75,8008687319.432675,206160693.18055037
5.87,8173805255.7267685,161777871.06214225
5.84,8136610491.424201,144150444.33749163
5.72,7974074951.181528,104582829.01542939
5.64,7866060852.6911545,165860624.10616395
5.52,7692226810.462885,139036847.47696152
5.39,7500870474.458805,177871644.49110672
5.34,7460443466.3520775,231051768.5710018
5.12,7135242497.337757,199100671.5281382
5.05,7041287866.583288,189224841.05715007
4.68,6543735771.68423,209723339.50256255
4.21,5880578800.088725,732400399.059558
