price,market_cap,total_volume
139.26,62238094836.14685,2954045955.297565
141.58,63319042460.19269,2641127907.433396
137.72,61615451344.778175,2093759582.375021
137.67,61596557366.24163,2710939729.917527
127.04,57068380747.46253,3949643280.4869456
134.75,60292554289.61039,4578078057.900455
137.92,61642176220.23793,4018763780.3042684
143.55,64310515828.20989,3482326753.116337
146.11,65431940754.60709,3337411967.8213387
145.69,65139241740.40005,2258970970.909871
152.65,68319201227.67775,3129079486.537318
148.19,66642348637.88412,3020806057.077866
142.52,63778648967.760185,3002797158.530531
152.73,68446070757.00757,2769016331.975477
146.31,65576191712.31699,2719661473.0723867
145.31,65186852360.18265,1411338379.683567
143.59,64399645373.94642,1012732259.7845844
147.14,65981164547.77246,2797524777.8003864
142.08,63808410155.384514,2475112749.0764318
158.01,71124365755.64029,3166253780.876326
159.15,71485848565.0468,3010339838.2279334
169.5,75995591371.301,2940812645.724995
172.45,77423323444.23485,2302108117.3224664
170.07,76312677475.9591,2201391269.7896724
186.32,83636200098.33824,4223669415.40993
178.17,79995115480.06287,4264614704.586964
176.87,79409425754.64302,3391953928.275571
176.06,79228788063.89075,4803498929.522145
167.77,75398208636.16145,3550795871.0997787
168.37,75661703605.5672,1678123312.597497
163.36,73367866647.74002,2230258323.6142364
169.81,76290531024.18916,2411003712.567338
168.75,77608694232.90857,2899980604.0982533
168.14,77252186457.9422,2520229123.3687077
167.01,76758497378.74059,2816032327.0417314
165.91,76308339528.46367,2443689641.7254596
165.96,76177678589.68294,1004763875.4137435
163.12,75050958641.62373,1496336327.6789188
164.81,75681627881.0628,2044856437.252917
171.73,78880758222.48264,1750946991.7273138
173.77,79780936079.13075,2286674729.7825136
170.37,78444394866.65672,1965476413.9809701
162.45,74856130848.93568,3548053094.3234396
158.18,72835917814.34517,1667795117.6359415
162.06,74673430538.47688,1435770777.5513241
158.89,73151424296.10939,1758494775.187192
149.3,68854872917.61719,3108518009.005868
154.86,71448945051.62373,3134898978.6059284
147.23,68032711460.25852,2420812427.9759216
143.02,66064522093.40304,2657809423.314454
145.28,67039970053.087814,1163447784.5279427
150.66,69579290410.68553,1310561237.9828827
143.2,66094864030.905464,2454137648.172359
137.46,63233499041.35268,4344910154.552924
135.4,62361208241.968605,2636123561.8074226
133.44,61706156570.99528,2560257578.8712974
134.51,62078256801.37986,2427905741.2715335
133.49,61606686233.870865,1097684600.3022025
128.54,59352841547.741,1252604454.7991865
132.34,61042345065.70789,3858603868.9472075
136.51,63106257051.66343,2814099573.8678613
136.44,63108597357.703316,1948967423.6505835
149.23,68956935473.7399,3176696321.950792
139.73,64611649671.817276,2594297845.7966657
139.87,64693099935.25913,1346294362.1943076
146.43,67675125124.59939,1780441975.6133604
146.35,67673065514.69488,2006890597.1463182
153.64,71136229946.13242,2426999726.934943
140.72,65082723830.858505,3214187013.5043983
127.93,59426641950.27212,3791021538.3341756
134.42,62269271952.277084,5884811589.169382
143.1,66217813182.98343,2489336508.5500417
131.85,61059941285.76865,2189333148.6797557
139.32,64537904951.409996,4080257370.582092
141.46,65737860357.994644,2918129762.127563
141.92,65837743099.40003,2267417219.9193945
136.07,63095416379.09987,2968505762.681664
139.36,64601740344.9905,2492119021.139762
141.68,65828079252.62245,1319666582.8903584
147.95,68729116144.65176,2482805432.3753552
159.92,74102104615.57973,3109645281.746366
160.78,74732938819.62112,3487082045.509735
155.4,72209875941.80649,2719714237.7638583
159.01,73852444296.54735,2617149109.5042167
169.22,78561627383.88539,4472680911.645818
174.1,80854762308.1409,2111299630.434342
184.45,85429935644.31656,4015804659.3674765
178.98,83131628699.86516,3355000351.4047484
173.03,80374938686.50865,3948271727.5033097
178.02,82711015097.19257,3972470238.3003707
171.7,79757334803.65512,5008783465.490734
183.08,85018101278.7471,3292350432.042273
184.67,85827248193.04897,4036791400.471603
184.79,85867074048.95665,2337276737.241032
182.54,84999082716.62422,4625426991.760574
179.04,83221052241.06827,3282604319.003352
171.97,79950614578.09938,3584555338.835737
167.89,78136018435.09514,5413794223.966175
152.41,70897108855.05199,5270915155.685125
143.13,66539693653.10327,4326247996.572523
137.56,64069506751.66353,5254540267.45
129.7,60385581799.65134,16968925434.656973
143.64,66888724877.82549,6966233301.523892
145.14,67833484660.8793,6502915916.986337
163.05,75605989422.61879,6758056552.040139
156.48,72748882742.7244,3855610171.4743857
153.89,71780208858.93105,2125943908.7761607
141.47,65970515368.134636,3023585724.110306
146.52,68410924515.65011,4393744279.483663
146.77,68523383455.0084,2815066563.4095407
143.87,67161503325.74234,3299796280.89426
142.88,66618864444.49498,3650888706.8002696
139.12,64863103906.70795,3346024393.6814594
141.69,66056074283.6682,1510724675.0982165
142.47,66473085149.04257,2449782934.9464426
144.57,67367254143.214,2725980607.7225375
142.52,66476153688.20832,2571440736.5736113
142.52,66440969750.356964,2339708556.8118854
143.25,66761547034.590904,1680863862.9906132
152.93,71446953314.36082,3449069389.1326084
160.64,74722638007.98097,3689677142.440268
158.63,73951133109.2744,2152634485.4217806
157.04,73245258412.5275,3208083624.8852763
146.82,68457640743.58645,3533217490.5110555
143.83,67227955365.65928,3755527847.8503094
139.93,65235562102.47011,2485174112.850169
138.22,64456415887.360794,3520846804.2245574
135.3,63101327572.9293,1100650505.5125542
128.79,60117065789.91227,2592581489.9065843
134.98,62985001475.25302,2686355117.802632
127.58,59614645974.77863,2173659978.949648
133.57,62251929888.190506,3336191234.189469
129.27,60387775938.96441,2564083516.3012624
124.89,58344018515.973,4234656649.947928
127.69,59680948983.96793,1696685412.630573
129.92,60759608104.47203,1689463330.6305983
134.88,63097455959.70133,2931030209.7421737
135.54,63391578712.57823,2072831875.2008343
